shell,test_distance,difference
PXPA312_152MM_DUCK_AP_Big,0,-14.969958154456464
PZPA038_100MM_AP_WH_ORK,20000,13.730882754618579
PZPA032_100MM_AP_FEN_YANG,20000,13.730882754618579
PZPA038_100MM_AP_WH_ORK,15000,13.349943594401736
PZPA032_100MM_AP_FEN_YANG,15000,13.349943594401736
PAPA023_Shell_76mm_AP_AP_Mk_29,10000,13.20946149802602
PJPA041_76mm_AP_Type_0,10000,12.886855715545043
PRPA009_102MM_AP_1915,15000,12.521267316549611
PGPA073_88MM_AP_SK_L45,10000,12.304900370842041
PXPA312_152MM_DUCK_AP_Big,5000,-12.29016897086871
PZPA015_105MM_AP_PSGR,10000,12.012913213568277
PGPA007_105MM_AP_PSGR,10000,12.012913213568277
PZPA048_114MM_AP_MK16,15000,11.95068361702778
PBPA062_114MM_SAP_55LB,15000,11.95068361702778
PUPA012_114MM_AP_VAMPIRE_2,15000,11.95068361702778
PRPA040_130_AP_P_1911,15000,11.865568090385015
PGPA028_105MM_AP_EMDEN,10000,11.755620324765825
PGPA014_105MM_AP_SAP_PZ_GR,10000,11.755620324765804
PFPA070_127MM_AP_MARCEAU,15000,11.62274301988968
PBPA066_102MM_AP_38LBS,15000,11.455301889620383
PBPA068_120MM_SAP_62LBS,15000,11.100023164570949
PWPA023_120MM_AP_ORKAN,15000,11.100023164570949
PUPA006_102MM_SAP_VAMPIRE,15000,10.780148367523946
PZPA046_133MM_MI_AP,15000,10.702700819197819
PAPA154_127MM_AP_JOSHUA,15000,10.579489242311734
PRPA009_102MM_AP_1915,10000,10.505973773013544
PUPA019_152MM_AP_BRISBANE,20000,10.505750208934517
PBPA099_152MM_AP_TIGER59,20000,10.331762742412254
PXPA017_152MM_AP_MK5,20000,10.331762742412254
PBPA017_152MM_AP_MK5,20000,10.331762742412254
PBPA113_152MM_AP_MK5_T11,20000,10.331762742412254
PZPA054_127MM_AP_MK_X,15000,10.179376491491698
PBPA005_102MM_AP_CAMPBELTOWN,15000,10.168874463627597
PAPA033_Shell_102mm_AP_SC_Mk_16,15000,10.168874463627597
PFPA008_139MM_55_1923_AP,15000,10.029880303011552
PBPA064_102MM_AP_QF_MKIV,10000,10.009222933961848
PZPA012_102MM_AP_QF_MKIV,10000,10.009222933961848
PAPA050_152mm_AP_130lbs_Mk35,20000,10.006636345020414
PZPA019_130MM_AP,15000,10.000020149993816
PVPA002_152MM_AP_NUEVE,20000,9.998878908405139
PAPA090_152MM_AP_BOISE,20000,9.998878908405139
PAPA099_152MM_AP_MONTPELIER,20000,9.998878908405139
PAPA019_Shell_152mm_AP_AP_Mk_35,20000,9.998878908405139
PUPA019_152MM_AP_BRISBANE,15000,9.899938823817367
PIPA016_120MM_AP_LEONE,15000,9.855201519736756
PRPA041_120_AP_P_1905,10000,9.831616220701811
PAPA205_203MM_AP_ILLINOIS,20000,9.792908440317905
PAPA139_203MM_AP_ROCHESTER,20000,9.792908440317905
PAPA143_203MM_AP_TULSA,20000,9.792908440317905
PAPA203_203MM_AP_MK_21_T11,20000,9.792908440317905
PXPA023_Shell_203mm_AP_AP_Mk_21,20000,9.792908440317905
PAPA012_Shell_203mm_AP_AP_Mk_21,20000,9.792908440317905
PXPA312_152MM_DUCK_AP_Big,10000,-9.781124556831355
PBPA099_152MM_AP_TIGER59,15000,9.764775071221399
PBPA017_152MM_AP_MK5,15000,9.764775071221399
PXPA017_152MM_AP_MK5,15000,9.764775071221399
PBPA113_152MM_AP_MK5_T11,15000,9.764775071221399
PFPA060_100MM_45_1892_AP,15000,9.731050905699679
PZPA038_100MM_AP_WH_ORK,10000,9.681680319907482
PZPA032_100MM_AP_FEN_YANG,10000,9.681680319907482
PZPA048_114MM_AP_MK16,10000,9.619999615112551
PUPA012_114MM_AP_VAMPIRE_2,10000,9.61999961511253
PBPA062_114MM_SAP_55LB,10000,9.61999961511253
PFPA057_130MM_AP_SIROCCO,15000,9.469831481798142
PFPA028_130MM_40_1919_AP,15000,9.469831481798142
PRPA124_180_AP_B_33_F,30000,9.43729830453277
PFPA065_127MM_54_1948_AP_MG,15000,9.43035951612099
PFPA070_127MM_AP_MARCEAU,10000,9.39816043382502
PXPA036_220_AP_B_23,10000,9.361444426771337
PUPA006_102MM_SAP_VAMPIRE,10000,9.345165749897365
PUPA018_133MM_AP_HECTOR,15000,9.324130397736896
PBPA112_133MM_AP_DIDO,15000,9.324130397736896
PAPA050_152mm_AP_130lbs_Mk35,15000,9.293361193542783
PFPA067_152MM_BAYARD,20000,9.276772730229176
PFPA027_152MM_GRASSE_AP,20000,9.276772730229176
PFPA015_152MM_55_1930_AP_1937,20000,9.276772730229176
PUPA010_152MM_AP_MYSORE,20000,9.276772730229176
PAPA099_152MM_AP_MONTPELIER,15000,9.268207347280288
PVPA002_152MM_AP_NUEVE,15000,9.268207347280288
PAPA090_152MM_AP_BOISE,15000,9.268207347280288
PAPA019_Shell_152mm_AP_AP_Mk_35,15000,9.268207347280288
PWPA015_100MM_AP_50_K11,10000,9.23865248652438
PRPA040_130_AP_P_1911,10000,9.23050508543486
PJPA074_127mm_AP_Mk42_Harekaze,20000,9.181437136115367
PRPA124_180_AP_B_33_F,25000,9.1720521102874
PWPA011_100MM_AP_47_OTO1931,15000,9.155832690399034
PXPA038_Shell_203mm_AP_AP_Type_92,30000,9.154756145104681
PJPA090_AP_TST_ZAO,30000,9.154756145104681
PJPA038_Shell_203mm_AP_AP_Type_92,30000,9.154756145104681
PFPA013_152MM_55_1930_AP_1931,20000,9.104205661609788
PJPA038_Shell_203mm_AP_AP_Type_92,25000,9.099838909205872
PJPA090_AP_TST_ZAO,25000,9.099838909205872
PXPA038_Shell_203mm_AP_AP_Type_92,25000,9.099838909205872
PFPA030_138MM_AP_AIGLE,15000,9.050107887102454
PFPA004_138MM_40_1923_AP,15000,9.050107887102454
PWPA013_120_50_AP_M42,15000,9.033407715074171
PVPA018_152MM_AP_130LBS_MK35,20000,9.004145414016683
PJPA063_100MM_AP_C_TYPE_98_MG,15000,8.990327533724551
PJPA077_100MM_AP_HAREKAZE,15000,8.990327533724551
PRPA055_130MM_AP_OHOTNIK,20000,8.984639628336799
PRPA045_130_AP_KK,20000,8.984639628336799
PRPA048_130_AP_P_1917,20000,8.984639628336799
PRPA063_130MM_AP_PB46_OLD_GUNS,20000,8.984639628336799
PBPA009_152MM_AP_100LBS,15000,8.963028150464991
PRPA117_180_AP_B_32_S_MIKOYAN,30000,8.92136084651347
PGPA019_150MM_AP_PSGR_L3_7,15000,8.919626856779296
PIPA027_150MM_AP_PSGR_L3_7,15000,8.919626856779296
PBPA066_102MM_AP_38LBS,10000,8.895930281931319
PRPA119_180_AP_BAGRATION,30000,8.894058469816436
PZPA002_130_AP_ANSHAN,20000,8.87228395217714
PRPA050_AP_LGD,20000,8.87228395217714
PRPA146_130MM_AP_PB46_TASH39,20000,8.87228395217714
PRPA019_130MM_AP_NEPREM,20000,8.87228395217714
PRPA003_130mm_AP_PB_46,20000,8.87228395217714
PZPA026_130MM_AP_SILIWANGI,20000,8.87228395217714
PWPA027_120_AP_T11,15000,8.872057756900276
PWPA017_120_AP_50_M50,15000,8.872057756900276
PHPA002_120_AP_FRIESLAND,15000,8.872057756900276
PHPA020_120_AP_GRONINGEN,15000,8.872057756900276
PWPA019_120MM_AP_SMALAND,15000,8.872057756900276
PFPA011_155MM_50_1920_AP,20000,8.820216378578438
PJPA106_140MM_AP_KITAKAMI,15000,8.807637797774714
PJPA013_Shell_140mm_AP_C_capped,15000,8.807637797774714
PZPA059_140MM_AP_NING_HAI,15000,8.807637797774714
PRPA057_130MM_AP_PB_42_SM21,20000,8.768585238055238
PRPA092_130MM_AP_NEUSTR,20000,8.768585238055238
PRPA102_130MM_AP_SMOLENSK,20000,8.768585238055238
PRPA140_130MM_AP_PB_42_SM21_T11,20000,8.768585238055238
PZPA042_130MM_AP_DALIAN,20000,8.768585238055238
PRPA190_130MM_AP_PB_42_R10,20000,8.768585238055238
PRPA194_130MM_AP_PB_42,20000,8.768585238055238
PZPA063_130MM_AP_LUSHUN,20000,8.768585238055238
PRPA117_180_AP_B_32_S_MIKOYAN,25000,8.735123278416147
PUPA016_120_AP_HURON,15000,8.734102165773972
PGPA104_128MM_AP_Z44,15000,8.725747550566854
PXPA045_128MM_AP_SK_C34,15000,8.725747550566854
PGPA096_128MM_AP_Z35,15000,8.725747550566854
PGPA065_128MM_AP_SK_C34,15000,8.725747550566854
PGPA077_128MM_AP_T61,15000,8.725747550566854
PAPA027_Shell_152mm_AP_AP_105lbs,15000,8.688168364630823
PVPA028_152MM_AP_105LBS,15000,8.688168364630823
PVPA005_AP_ALBANY_ABREU,15000,8.688168364630823
PXPA012_152MM_AP_DR_FRANKY,15000,8.688168364630823
PAPA095_152MM_AP_CHARLSTON,15000,8.688168364630823
PRPA119_180_AP_BAGRATION,25000,8.668404166528255
PBPA068_120MM_SAP_62LBS,10000,8.653302984336886
PWPA023_120MM_AP_ORKAN,10000,8.653302984336886
PAPA203_203MM_AP_MK_21_T11,15000,8.63446628765816
PXPA023_Shell_203mm_AP_AP_Mk_21,15000,8.63446628765816
PAPA012_Shell_203mm_AP_AP_Mk_21,15000,8.63446628765816
PAPA205_203MM_AP_ILLINOIS,15000,8.63446628765816
PAPA139_203MM_AP_ROCHESTER,15000,8.63446628765816
PAPA143_203MM_AP_TULSA,15000,8.63446628765816
PRPA115_152MM_B35_OCHAKOV,25000,8.63432915842084
PRPA089_152MM_AP_LAZO,25000,8.63432915842084
PZPA023_152MM_B35_IRIAN,25000,8.63432915842084
PRPA035_152MM_B35,25000,8.63432915842084
PRPA021_152MM_B35_KUTUZOV,25000,8.63432915842084
PZPA022_152MM_HUANGHE_AP,25000,8.63432915842084
PRPA037_180_AP_B_32_S,20000,8.620018158435094
PWPA002_120_AP_BLYSKAWICA,15000,8.57138167894471
PWPA021_120_AP_50_M36,15000,8.57138167894471
PZPA006_120_AP_BL_I,10000,8.54252886476623
PRPA035_152MM_B35,20000,8.542380004082538
PRPA021_152MM_B35_KUTUZOV,20000,8.542380004082538
PZPA023_152MM_B35_IRIAN,20000,8.542380004082538
PZPA022_152MM_HUANGHE_AP,20000,8.542380004082538
PRPA089_152MM_AP_LAZO,20000,8.542380004082538
PRPA115_152MM_B35_OCHAKOV,20000,8.542380004082538
PBPA011_152MM_AP_4CRH,15000,8.506489012019248
PVPA026_152MM_AP_4CRH,15000,8.506489012019248
PJPA074_127mm_AP_Mk42_Harekaze,15000,8.488538749685159
PHPA017_120MM_40_AP_KRUPP,10000,8.487611261859996
PXPA048_Shell_155mm_AP_APC_Type_91,20000,8.456031482607829
PJPA025_Shell_155mm_AP_APC_Type_91,20000,8.456031482607829
PJPA133_155MM_50_AP_CL,20000,8.456031482607829
PJPA999_Useless_AP_Special,0,-8.447634094390343
PGPA143_105MM_AP_Z_42,15000,8.43814052929115
PGPA069_105MM_AP_SK_C32,10000,8.396679268510287
PBPA016_152MM_AP_6CRH_MK4,20000,8.321502653688405
PUPA002_152MM_AP_PERTH,20000,8.321502653688405
PBPA096_152MM_AP_PLYMOUTH,20000,8.321502653688405
PZPA050_152MM_AP_6CRH_MK4,20000,8.321502653688405
PBPA021_152MM_AP_BEL,20000,8.321502653688405
PBPA093_152MM_AP_BELFAST2,20000,8.321502653688405
PFPA060_100MM_45_1892_AP,10000,8.302015589259337
PVPA012_120MM_AP_JURUA,10000,8.29944776059608
PBPA048_120MM_QFMIX_AP_G,10000,8.29944776059608
PSPA020_120MM_F_AP,10000,8.29944776059608
PUPA008_120_AP_HAIDA,10000,8.299447760596056
PZPA010_120_AP_QF_MK_IX,10000,8.299447760596056
PBPA061_120_AP_COSSACK,10000,8.299447760596056
PZPA046_133MM_MI_AP,10000,8.290598263135696
PIPA016_120MM_AP_LEONE,10000,8.289750804969053
PAPA023_Shell_76mm_AP_AP_Mk_29,5000,8.265263831515025
PJPA038_Shell_203mm_AP_AP_Type_92,20000,8.240303244717385
PJPA090_AP_TST_ZAO,20000,8.240303244717385
PXPA038_Shell_203mm_AP_AP_Type_92,20000,8.240303244717385
PRPA124_180_AP_B_33_F,20000,8.231034630725208
PRPA001_Shell_152mm_AP_AP_91lbs,10000,8.132889317592596
PRPA084_152_AP_VARYAG,10000,8.132889317592596
PRPA052_AP_OLEG,10000,8.132889317592596
PRPA042_152_AP_C,10000,8.132889317592596
PXPA078_305MM_AP_ALASKA_H2019,0,-8.107849450697625
PIPA009_152MM_55_AP_ABRUZZI,20000,8.082830148255837
PJPA999_Useless_AP_Special,25000,8.080026854404142
PXPA006_305MM_AP_RASPUTIN,20000,8.078274477074054
PRPA015_305_AP_1911,20000,8.078274477074054
PRPA070_305_AP_REV,20000,8.078274477074054
PRPA065_130MM_AP_KHABAROVSK,20000,8.058975640543832
PRPA011_130MM_AP_PB_46_B2U,20000,8.058975640543832
PAPA154_127MM_AP_JOSHUA,10000,8.047940251007146
PRPA063_130MM_AP_PB46_OLD_GUNS,15000,8.039285398816908
PRPA048_130_AP_P_1917,15000,8.039285398816908
